Exp. index,channel,behavior,note,occur time,mitosis-phase1,mitosis-phase2,mitosis-phase3,mitosis-phase4,migration-phase1,migration-phase2,migration-phase3,,,
1,4,Mitosis-phase2,,26.95,,,,,,,,0,0,1
1,5,Migrate-in,,5.79,,,,,5.567,6.4,7.567,5.567,7.567,1
1,5,Mitosis-phase1,,9.82,9.317,9.65,9.983,-,,,,9.317,9.983,1
1,5,Mitosis-phase2,,10.17,,,,,,,,0,0,1
1,5,Mitosis-phase1,,12.41,12.233,12.733,12.983,13.317,,,,12.233,13.317,1
1,5,Mitosis-phase2,,13.1,,,,,,,,0,0,1
1,5,Mitosis-phase1,double mitosis,28.66,28.05,29.05,30.05,-,,,,28.05,30.05,1
1,5,Mitosis-phase2,,30.18,,,,,,,,0,0,1
1,5,Mitosis-phase1,,33.55,32.717,33.55,33.967,34.383,,,,32.717,34.383,1
1,5,Mitosis-phase2,,33.9,,,,,,,,0,0,1
1,6,Migrate-in,,12.18,,,,,10.4,11.65,13.983,10.4,13.983,1
1,6,Mitosis-phase1,,17.34,17.067,17.4,17.983,18.883,,,,17.067,18.883,1
1,6,Mitosis-phase2,,18.03,,,,,,,,0,0,1
1,6,Mitosis-phase1,,19.68,18.967,19.717,20.3,21.633,,,,18.967,21.633,1
1,6,Mitosis-phase2,,20.92,,,,,,,,0,0,1
1,6,Migrate-out,,24.45,,,,,23.3,24.467,25.55,23.3,25.55,1
1,7,Mitosis-phase1,double mitosis,13.56,12.817,13.483,13.817,-,,,,12.817,13.817,1
1,7,Mitosis-phase2,,14.07,,,,,,,,0,0,1
1,7,Mitosis-phase1,,27.5,26.717,27.133,27.8,28.55,,,,26.717,28.55,1
1,7,Mitosis-phase2,,27.98,,,,,,,,0,0,1
1,12,Mitosis-phase1,,7.33,5.983,7.4,7.817,8.4,,,,5.983,8.4,1
1,12,Mitosis-phase2,,9.01,,,,,,,,0,0,1
1,12,Mitosis-phase1,,18.17,17.067,18.067,18.4,19.633,,,,17.067,19.633,1
1,12,Mitosis-phase2,,18.5,,,,,,,,0,0,1
1,12,Mitosis-phase1,,31.82,31.383,32.05,32.55,33.55,,,,31.383,33.55,1
1,12,Mitosis-phase2,,32.6,,,,,,,,0,0,1
1,12,Mitosis-phase1,,34.88,34.55,35.05,35.217,35.883,,,,34.55,35.883,1
1,12,Mitosis-phase2,,35.53,,,,,,,,0,0,1
1,13,Migrate-in,,4.09,,,,,3.4,3.9,4.983,3.4,4.983,1
1,13,Mitosis-phase1,,6.567,6.067,6.733,7.15,7.567,,,,6.067,7.567,1
1,13,Mitosis-phase2,,6.9,,,,,,,,0,0,1
1,13,Migrate-in,,14.92,,,,,13.15,13.9,15.233,13.15,15.233,1
1,13,Mitosis-phase1,,18.44,18.4,19.05,19.383,19.8,,,,18.4,19.8,1
1,13,Mitosis-phase2,,19.21,,,,,,,,0,0,1
1,13,Migrate-in,,43.7,,,,,42.05,43.55,43.967,42.05,43.967,1
1,14,Mitosis-phase1,,22.91,22.05,22.967,23.467,24.3,,,,22.05,24.3,1
1,14,Mitosis-phase2,,23.39,,,,,,,,0,0,1
1,14,Migrate-in,,49.42,,,,,48.633,49.217,50.3,48.633,50.3,1
1,15,Migrate-in,,14.48,,,,,13.317,13.817,14.733,13.317,14.733,1
1,15,Mitosis-phase1,,21.85,21.05,21.633,21.967,22.55,,,,21.05,22.55,1
1,15,Mitosis-phase2,,22.77,,,,,,,,0,0,1
1,16,Migrate-in,,13.94,,,,,12.983,13.983,14.4,12.983,14.4,1
1,16,Mitosis-phase1,,24.75,24.55,25.3,25.717,26.217,,,,24.55,26.217,1
1,16,Mitosis-phase2,,26.33,,,,,,,,0,0,1
1,16,Mitosis-phase1,,19.22,-,19.05,19.383,21.133,,,,19.05,21.133,1
1,16,Mitosis-phase2,,20.72,,,,,,,,0,0,1
3,2,Migrate-out,,52.76,,,,,52.267,52.683,53.017,52.267,53.017,1
3,4,Migrate-in,,12.55,,,,,11.467,12.3,13.55,11.467,13.55,1
3,4,Migrate-in,,22.3,,,,,21.133,22.05,22.467,21.133,22.467,1
3,4,Migrate-out,,23.133,,,,,22.967,23.3,24.05,22.967,24.05,1
3,4,Migrate-in,,31.2,,,,,28.8,29.967,31.217,28.8,31.217,1
3,5,Mitosis-phase1,,8.717,7.717,8.55,8.883,9.467,,,,7.717,9.467,1
3,5,Mitosis-phase2,,9.383,,,,,,,,0,0,1
3,5,Migrate-in,,18.55,,,,,17.217,18.55,18.883,17.217,18.883,1
3,5,Migrate-out,,33.88,,,,,33.383,33.633,34.633,33.383,34.633,1
3,12,Migrate-in,,40.15,,,,,37.817,38.733,40.233,37.817,40.233,1
3,12,Migrate-out,,41.483,,,,,40.567,41.233,42.4,40.567,42.4,1
3,12,Migrate-in,,44.35,,,,,43.183,44.267,45.517,43.183,45.517,1
3,13,Migrate-in,,8,,,,,6.717,7.717,8.8,6.717,8.8,1
3,13,Migrate-out,,15.5,,,,,14.467,16.217,18.383,14.467,18.383,1
3,13,Migrate-in,,20.467,,,,,19.133,20.383,21.05,19.133,21.05,1
3,13,Migrate-out,,23.3,,,,,21.05,21.967,23.467,21.05,23.467,1
3,13,Migrate-in,,26.883,,,,,25.467,26.383,27.633,25.467,27.633,1
3,13,Migrate-out,,42.4,,,,,40.15,40.817,42.567,40.15,42.567,1
3,14,Migrate-out,,24.133,,,,,23.633,24.383,25.467,23.633,25.467,1
3,14,Mitosis-phase1,,62.27,62.017,62.767,63.35,63.933,,,,62.017,63.933,1
3,14,Mitosis-phase2,,63.35,,,,,,,,0,0,1
